City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,umarkhed,19.6,77.7,303.18,32,0,4.71,IN,1685062419
85,saint-joseph,-21.3667,55.6167,295.36,83,100,5.86,RE,1685062419
86,puerto ayora,-0.7393,-90.3518,299.01,89,10,3.13,EC,1685062419
87,saskylakh,71.9167,114.0833,274.35,100,100,5.19,RU,1685062420
88,dikson,73.5069,80.5464,274.41,99,100,8.39,RU,1685062420
89,manono,-7.3,27.4167,295.81,56,93,1.79,CD,1685062420
90,nizhniy kuranakh,58.8353,125.4869,284.47,39,19,4.42,RU,1685062421
91,porbandar,21.6422,69.6093,301.05,85,31,8.44,IN,1685062421
92,bandarbeyla,9.4942,50.8122,301.08,78,14,7.26,SO,1685062421
93,ponta do sol,32.6667,-17.1,291.5,74,22,0.68,PT,1685062421
94,kloulklubed,7.0419,134.2556,299.43,79,100,9.86,PW,1685062421
95,mogadishu,2.0371,45.3438,299.46,77,19,5.41,SO,1685062422
96,lata,40.1629,-8.3327,289.22,94,0,0.24,PT,1685062422
97,flin flon,54.7682,-101.865,286.94,96,100,2.26,CA,1685062423
98,saldanha,-33.0117,17.9442,280.18,63,21,2.96,ZA,1685062423
99,tiksi,71.6872,128.8694,273.09,81,100,3.79,RU,1685062423
100,new norfolk,-42.7826,147.0587,284.22,80,100,0.89,AU,1685062424
101,lompoc,34.6391,-120.4579,292.6,72,27,2.24,US,1685062424
102,fort nelson,58.8053,-122.7002,295.92,31,40,1.54,CA,1685062424
103,mwinilunga,-11.7358,24.4293,287.13,68,8,1.46,ZM,1685062424
104,tarija,-21.5355,-64.7296,290.1,77,100,3.09,BO,1685062425
105,narsaq,60.9167,-46.05,276.27,99,100,1.98,GL,1685062425
106,vizinga,61.0749,50.1031,289.95,73,92,3.79,RU,1685062425
107,nogliki,51.8333,143.1667,281.61,76,95,2.98,RU,1685062425
108,manta,-0.95,-80.7333,300.03,83,40,4.63,EC,1685062180
109,kununurra,-15.7667,128.7333,299.14,38,6,3.09,AU,1685062426
110,port elizabeth,-33.918,25.5701,286.31,75,0,10.8,ZA,1685062426
111,barrow,71.2906,-156.7887,270.16,93,100,6.17,US,1685062427
112,mar del plata,-38.0023,-57.5575,292.09,99,100,3.09,AR,1685062427
